"Suite","Benchmark","BeforeNs","AfterNs","DeltaPct","BeforeB","AfterB","BeforeAlloc","AfterAlloc","BeforeMin","BeforeMax","AfterMin","AfterMax"
"root","github.com/go-gen-ecosystem/halolog/fielddict/BenchmarkFieldDict_O1Lookup/ExistingFields-8","17.2","17.19","-0.06","0","0","0","0","17.18","17.23","17.14","17.21"
"root","github.com/go-gen-ecosystem/halolog/fielddict/BenchmarkFieldDict_O1Lookup/NonExistingFields-8","12.9","12.88","-0.16","0","0","0","0","12.83","13.02","12.87","12.89"
"root","github.com/go-gen-ecosystem/halolog/fielddict/BenchmarkFieldDict_vs_RegexComparison/FieldDict_O1-8","16.53","16.66","0.79","0","0","0","0","16.52","16.56","16.55","16.73"
"root","github.com/go-gen-ecosystem/halolog/fielddict/BenchmarkFieldDict_vs_RegexComparison/Regex_Matching-8","97","96.55","-0.46","0","0","0","0","96.36","97.55","96.11","97.29"
"root","github.com/go-gen-ecosystem/halolog/fielddict/BenchmarkRegexLookup/RegexMatching-8","118","116.2","-1.53","0","0","0","0","116.9","131.5","116.2","116.2"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8","159.1","160.3","0.75","48","48","1","1","158.8","160.7","159.6","160.4"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8","68.03","69.03","1.47","0","0","0","0","67.71","68.16","67.92","71.14"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes1024/decrypt=false-8","770.5","771.2","0.09","1408","1408","1","1","757","1275","762.7","1050"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes1024/decrypt=true-8","879.3","1260","43.3","1024","1024","1","1","835.2","896.8","1025","1301"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes128/decrypt=false-8","245.9","248.7","1.14","224","224","1","1","245.1","247.4","247.1","258.8"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes128/decrypt=true-8","150.2","149.3","-0.6","128","128","1","1","149.2","150.7","148.5","156.5"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8","165.4","164.9","-0.3","64","64","1","1","165.1","165.6","164.1","168.5"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8","80.4","80.4","0","16","16","1","1","79.91","80.48","80.08","80.41"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes65536/decrypt=false-8","73275","72576","-0.95","245761","245760","2","2","70305","97210","66916","77128"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8","83867","59037","-29.61","139264","139264","2","2","67139","87184","58337","76821"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkFieldEncryptor_Decrypt-8","116.1","104.9","-9.65","16","16","1","1","98.42","118.2","96.88","133.7"
"root","github.com/go-gen-ecosystem/halolog/masking/BenchmarkFieldEncryptor_Encrypt-8","179.6","262.2","45.99","64","64","1","1","168.2","198","259.7","322"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkComparison_SyncPool_vs_ExtractedPool/ExtractedPool-8","16.21","16.25","0.25","0","0","0","0","12.22","19.09","14.29","21.44"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkComparison_SyncPool_vs_ExtractedPool/SyncPool-8","4.439","7.517","69.34","0","0","0","0","4.332","7.929","6.695","8.07"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkEntryPoolComparison/Consolidated_Pool-8","120.9","128.6","6.37","0","0","0","0","120.6","121.1","128.5","128.8"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkEntryPoolComparison/Sync_Pool-8","0.6428","0.6352","-1.18","0","0","0","0","0.6355","0.6577","0.6347","0.6399"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkEntryPoolConcurrent-8","132.5","137.9","4.08","0","0","0","0","129","133","137.6","138.7"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkEntryPoolConsolidated-8","121.9","128.8","5.66","0","0","0","0","121.4","122.9","128.6","129.5"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkEntryPoolRace-8","121.6","129","6.09","0","0","0","0","120.1","121.9","128.4","129.4"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkEntryPoolSyncPool-8","0.6359","0.6422","0.99","0","0","0","0","0.6353","0.6499","0.6258","0.7995"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkExtractedEntryPool-8","5.168","4.338","-16.06","0","0","0","0","4.779","5.852","4.129","4.874"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkExtractedFieldBuilder-8","41.79","42.88","2.61","0","0","0","0","38.65","44.27","42.67","43.69"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkExtractedPool-8","40.65","38.89","-4.33","0","0","0","0","39.73","40.83","38.26","40.21"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_ArrayIndex-8","0.2467","0.3074","24.6","0","0","0","0","0.2442","0.2862","0.2721","0.3141"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_AtomicStore-8","4.779","4.623","-3.26","0","0","0","0","4.36","5.084","4.238","5.381"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_Baseline_NoPooling-8","0.231","0.2224","-3.72","0","0","0","0","0.2184","0.2561","0.1747","0.2829"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_GetPerPState_Current-8","18.75","14.91","-20.48","0","0","0","0","16.98","19.49","14","17.21"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_GetPerPState_DirectIndex-8","10.71","9.599","-10.37","0","0","0","0","8.857","11.61","9.281","10.41"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_GetPerPState_NoStats-8","11.75","10.66","-9.28","0","0","0","0","10.65","12.48","8.655","11.91"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_GetPerPState_RoundRobin-8","16.25","12.62","-22.34","0","0","0","0","14.23","19.78","12.04","14.7"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_GetPID-8","0.2544","0.233","-8.41","0","0","0","0","0.2279","0.3226","0.2154","0.2673"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_ShardAccess-8","0.3293","0.3259","-1.03","0","0","0","0","0.3291","0.3902","0.3177","0.3861"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_SingleCAS-8","10.34","10.41","0.68","0","0","0","0","8.677","11.65","7.759","11.17"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPool_StatsIncrement-8","4.238","5.398","27.37","0","0","0","0","3.771","5.323","3.891","5.744"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPure_SyncPool_TypeAssert-8","9.567","7.614","-20.41","0","0","0","0","8.257","11.57","6.213","9.107"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkPure_SyncPool_Unsafe-8","8.394","5.819","-30.68","0","0","0","0","8.224","9.334","5.501","8.954"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkStrategy_Cached-8","0.3937","0.295","-25.07","0","0","0","0","0.3082","0.4143","0.2572","0.2996"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkStrategy_Inline-8","0.2632","0.234","-11.09","0","0","0","0","0.1081","0.2817","0.2322","0.2494"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkStrategy_Optimistic-8","7.913","7.66","-3.2","0","0","0","0","6.883","8.101","6.95","7.787"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkStrategy_Static-8","0.2567","0.2657","3.51","0","0","0","0","0.2485","0.2706","0.245","0.2838"
"root","github.com/go-gen-ecosystem/halolog/pool/BenchmarkStrategy_SyncPool-8","9.802","8.131","-17.05","0","0","0","0","9.336","10.35","6.435","8.46"
"root","github.com/go-gen-ecosystem/halolog/registry/BenchmarkColorRegistry_ConcurrentAccess-8","66.36","65.99","-0.56","0","0","0","0","65.96","67.96","65.67","66.68"
"root","github.com/go-gen-ecosystem/halolog/registry/BenchmarkColorRegistry_GetColorByFieldID-8","11.67","11.73","0.51","0","0","0","0","11.67","11.81","11.68","11.84"
"root","github.com/go-gen-ecosystem/halolog/registry/BenchmarkColorRegistry_RegisterFromConfigWithIDs-8","626.4","628.9","0.4","0","0","0","0","624.2","637.8","613.8","671.6"
"root","github.com/go-gen-ecosystem/halolog/sampling/BenchmarkAdaptiveSampler_Parallel-8","99.37","101.9","2.55","0","0","0","0","99.25","102.5","99.08","103.6"
"root","github.com/go-gen-ecosystem/halolog/sampling/BenchmarkAdaptiveSampler_ShouldSample-8","29.77","29.65","-0.4","0","0","0","0","29.61","30.76","29.49","29.65"
